2012-04-05T00:02:15.962955+00:00,sim64b[5922]:,disconnect,4,79.97.27.211,al
2012-04-05T08:19:51.520240+00:00,sim64b[5922]:,disconnect,2,78.9.93.57,Client#4
2012-04-05T08:20:06.805250+00:00,sim64b[5922]:,connect,2,78.9.93.57,Client#4
2012-04-05T08:23:54.496209+00:00,sim64b[5922]:,disconnect,3,79.249.117.62,Client#2
2012-04-05T08:24:04.150229+00:00,sim64b[5922]:,connect,3,79.249.117.62,Client#2
2012-04-05T08:27:52.564324+00:00,sim64b[5922]:,disconnect,3,79.249.117.62,Client#2
2012-04-05T08:29:33.224396+00:00,sim64b[5922]:,connect,3,79.249.117.62,Client#2
2012-04-05T08:49:40.677322+00:00,sim64b[5922]:,disconnect,3,79.249.117.62,Client#2
2012-04-05T08:49:50.641187+00:00,sim64b[5922]:,connect,3,79.249.117.62,Client#2
2012-04-05T09:20:34.053934+00:00,sim64b[5922]:,disconnect,2,78.9.93.57,Client#4
2012-04-05T09:20:45.374675+00:00,sim64b[5922]:,connect,2,78.9.93.57,Client#4
2012-04-05T09:24:05.464256+00:00,sim64b[5922]:,disconnect,2,78.9.93.57,Client#4
2012-04-05T09:24:17.954330+00:00,sim64b[5922]:,connect,2,78.9.93.57,Client#4
2012-04-05T09:36:34.522404+00:00,sim64b[5922]:,disconnect,3,79.249.117.62,Client#2
2012-04-05T09:37:15.527286+00:00,sim64b[5922]:,connect,3,79.249.117.62,Client#3
2012-04-05T09:40:31.219486+00:00,sim64b[5922]:,disconnect,3,79.249.117.62,Client#3
2012-04-05T10:32:35.797953+00:00,sim64b[5922]:,disconnect,2,78.9.93.57,Client#4
2012-04-05T10:32:43.608872+00:00,sim64b[5922]:,connect,3,78.9.93.57,Client#4
2012-04-05T10:35:58.517237+00:00,sim64b[5922]:,connect,2,79.207.134.66,Client#2
2012-04-05T11:06:30.523959+00:00,sim64b[5922]:,connect,4,79.249.117.62,Client#3
2012-04-05T11:32:31.854667+00:00,sim64b[5922]:,disconnect,4,79.249.117.62,Client#3
2012-04-05T11:37:58.309885+00:00,sim64b[5922]:,connect,4,177.33.99.18,edson
2012-04-05T11:38:41.522468+00:00,sim64b[5922]:,disconnect,4,177.33.99.18,edson
2012-04-05T12:04:14.481059+00:00,sim64b[5922]:,disconnect,3,78.9.93.57,Client#4
2012-04-05T12:54:42.268676+00:00,sim64b[5922]:,connect,3,79.249.117.62,Client#3
2012-04-05T13:01:53.788145+00:00,sim64b[5922]:,connect,4,79.207.134.66,Client#2
2012-04-05T13:01:53.925910+00:00,sim64b[5922]:,disconnect,2,79.207.134.66,Client#2
2012-04-05T13:05:07.357566+00:00,sim64b[5922]:,disconnect,4,79.207.134.66,Client#2
2012-04-05T13:28:23.847432+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:30:46.180013+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:31:03.722593+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:31:39.249682+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:31:56.688192+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:32:50.300261+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:33:09.654351+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:33:37.423744+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:33:54.182396+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:34:28.194343+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:34:46.060215+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:35:22.592540+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:35:39.813238+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:36:26.302106+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:36:44.145843+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:37:48.596548+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:38:06.276397+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:40:23.445554+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:40:40.465379+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:41:47.518482+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:42:06.357053+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:43:21.927781+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:43:40.731794+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:44:50.340798+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T13:44:58.892356+00:00,sim64b[5922]:,connect,2,190.62.110.92,Client#2
2012-04-05T13:45:12.744757+00:00,sim64b[5922]:,connect,5,189.46.242.103,Eric Costa Marques
2012-04-05T13:45:29.103422+00:00,sim64b[5922]:,chat,3,79.249.117.62,Client#3,10,Electrics Ltd.,Eric please stop reconnecting all the time!
2012-04-05T13:49:51.238084+00:00,sim64b[5922]:,disconnect,5,189.46.242.103,Eric Costa Marques
2012-04-05T13:50:07.759325+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T13:54:36.088473+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T13:54:51.956110+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T13:57:00.931925+00:00,sim64b[5922]:,connect,5,190.73.89.1,Client#5
2012-04-05T13:57:10.221271+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T13:57:26.459946+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T13:57:28.911531+00:00,sim64b[5922]:,disconnect,5,190.73.89.1,Client#5
2012-04-05T13:58:06.126282+00:00,sim64b[5922]:,connect,5,190.73.89.1,Client#5
2012-04-05T13:59:58.096020+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:00:15.033507+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:00:42.123998+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:00:57.675876+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:01:15.125313+00:00,sim64b[5922]:,disconnect,5,190.73.89.1,Client#5
2012-04-05T14:01:35.777929+00:00,sim64b[5922]:,connect,5,190.73.89.1,Client#5
2012-04-05T14:01:49.040472+00:00,sim64b[5922]:,connect,6,189.46.242.103,Eric Costa Marques
2012-04-05T14:01:49.173326+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:02:00.687175+00:00,sim64b[5922]:,disconnect,5,190.73.89.1,Client#5
2012-04-05T14:02:28.855702+00:00,sim64b[5922]:,connect,4,190.73.89.1,Client#5
2012-04-05T14:02:55.787293+00:00,sim64b[5922]:,disconnect,4,190.73.89.1,Client#5
2012-04-05T14:03:17.113515+00:00,sim64b[5922]:,connect,4,190.73.89.1,Client#5
2012-04-05T14:03:46.606997+00:00,sim64b[5922]:,disconnect,6,189.46.242.103,Eric Costa Marques
2012-04-05T14:04:01.591787+00:00,sim64b[5922]:,connect,5,189.46.242.103,Eric Costa Marques
2012-04-05T14:04:32.361252+00:00,sim64b[5922]:,disconnect,5,189.46.242.103,Eric Costa Marques
2012-04-05T14:04:49.832689+00:00,sim64b[5922]:,connect,5,189.46.242.103,Eric Costa Marques
2012-04-05T14:05:11.524205+00:00,sim64b[5922]:,connect,6,190.73.89.1,Client#5
2012-04-05T14:05:11.657325+00:00,sim64b[5922]:,disconnect,4,190.73.89.1,Client#5
2012-04-05T14:05:12.774666+00:00,sim64b[5922]:,disconnect,5,189.46.242.103,Eric Costa Marques
2012-04-05T14:05:27.581254+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:05:59.035669+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:06:15.266668+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:06:39.434818+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:06:56.046360+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:07:31.056154+00:00,sim64b[5922]:,disconnect,6,190.73.89.1,Client#5
2012-04-05T14:07:32.813357+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:07:49.266572+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:08:45.357811+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:09:03.563848+00:00,sim64b[5922]:,connect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:09:08.894812+00:00,sim64b[5922]:,disconnect,2,190.62.110.92,Client#2
2012-04-05T14:09:31.134779+00:00,sim64b[5922]:,disconnect,4,189.46.242.103,Eric Costa Marques
2012-04-05T14:09:46.936088+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:10:24.866142+00:00,sim64b[5922]:,connect,4,78.9.93.57,Client#4
2012-04-05T14:11:45.515419+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:12:01.562824+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:12:54.812522+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:13:08.835317+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:13:46.325911+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:14:00.456069+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:15:05.986356+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:15:21.100902+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:16:11.713736+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:16:27.001230+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:19:52.855607+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:20:07.540515+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:22:35.432018+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:22:51.796053+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:23:15.926687+00:00,sim64b[5922]:,connect,5,189.10.132.173,Client#2
2012-04-05T14:23:34.014333+00:00,sim64b[5922]:,disconnect,5,189.10.132.173,Client#2
2012-04-05T14:23:35.293206+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:23:52.301570+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:24:47.871679+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:25:03.224830+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:26:03.035104+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:26:18.232791+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:26:47.846345+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:27:03.090066+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:27:53.219826+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:28:09.602035+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:28:38.189829+00:00,sim64b[5922]:,connect,5,79.207.134.66,Client#2
2012-04-05T14:29:26.364737+00:00,sim64b[5922]:,disconnect,3,79.249.117.62,Client#3
2012-04-05T14:31:41.882888+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:31:57.804379+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:35:07.534431+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:35:22.122354+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:39:47.528402+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:40:03.788769+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:41:09.032903+00:00,sim64b[5922]:,connect,3,108.23.68.55,Client#3
2012-04-05T14:41:21.201954+00:00,sim64b[5922]:,connect,6,189.46.242.103,Eric Costa Marques
2012-04-05T14:41:21.256322+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:41:59.013430+00:00,sim64b[5922]:,disconnect,3,108.23.68.55,Client#3
2012-04-05T14:43:10.053677+00:00,sim64b[5922]:,disconnect,6,189.46.242.103,Eric Costa Marques
2012-04-05T14:43:25.088435+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:43:54.978499+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:44:09.463363+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:53:36.113015+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:53:50.273872+00:00,sim64b[5922]:,connect,2,189.46.242.103,Eric Costa Marques
2012-04-05T14:59:55.724431+00:00,sim64b[5922]:,disconnect,2,189.46.242.103,Eric Costa Marques
