2012-05-10T01:16:12.200615+00:00,sim128[28088]:,disconnect,4,216.113.83.252,jerped
2012-05-10T14:28:37.787851+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T14:29:24.127774+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T14:29:37.317493+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T14:34:47.142953+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T14:40:34.971567+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T14:40:34.971597+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T14:40:49.605373+00:00,sim128[28088]:,connect,7,220.245.52.25,Client#16
2012-05-10T14:41:30.871823+00:00,sim128[28088]:,disconnect,7,220.245.52.25,Client#16
2012-05-10T14:41:44.082666+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T14:45:34.092022+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T14:45:47.845938+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T14:48:29.819599+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T14:54:37.890468+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T14:54:37.890505+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T14:54:54.264104+00:00,sim128[28088]:,connect,7,220.245.52.25,Client#16
2012-05-10T14:56:56.243511+00:00,sim128[28088]:,connect,4,89.35.222.38,Panda
2012-05-10T14:57:52.176682+00:00,sim128[28088]:,disconnect,4,89.35.222.38,Panda
2012-05-10T14:59:18.267356+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T15:01:05.717842+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T15:01:05.718148+00:00,sim128[28088]:,disconnect,7,220.245.52.25,Client#16
2012-05-10T15:01:24.392665+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T15:06:15.075782+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T15:09:58.636236+00:00,sim128[28088]:,connect,7,220.245.52.25,Client#16
2012-05-10T15:20:58.096314+00:00,sim128[28088]:,connect,8,220.245.52.25,Client#16
2012-05-10T15:22:50.287218+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T15:22:50.287305+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T15:22:50.287377+00:00,sim128[28088]:,disconnect,7,220.245.52.25,Client#16
2012-05-10T15:22:50.287453+00:00,sim128[28088]:,disconnect,8,220.245.52.25,Client#16
2012-05-10T15:23:05.544190+00:00,sim128[28088]:,connect,9,220.245.52.25,Client#16
2012-05-10T15:23:51.156053+00:00,sim128[28088]:,disconnect,9,220.245.52.25,Client#16
2012-05-10T15:24:04.329689+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T15:26:22.581006+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T15:26:42.700562+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T15:28:48.900808+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T15:35:23.193687+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T15:35:23.193945+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T15:35:42.466865+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T15:38:10.378972+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T15:38:23.888679+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T15:41:13.223664+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T15:41:26.896704+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T15:50:18.055535+00:00,sim128[28088]:,connect,6,220.245.52.25,Client#16
2012-05-10T15:51:14.214501+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T15:51:14.214535+00:00,sim128[28088]:,disconnect,6,220.245.52.25,Client#16
2012-05-10T15:51:29.919340+00:00,sim128[28088]:,connect,7,220.245.52.25,Client#16
2012-05-10T15:52:34.418859+00:00,sim128[28088]:,disconnect,7,220.245.52.25,Client#16
2012-05-10T15:55:20.885321+00:00,sim128[28088]:,connect,4,220.245.52.25,Client#16
2012-05-10T16:23:33.697590+00:00,sim128[28088]:,disconnect,4,220.245.52.25,Client#16
2012-05-10T16:23:41.632252+00:00,sim128[28088]:,connect,6,82.158.116.97,Client#4
2012-05-10T16:33:28.597312+00:00,sim128[28088]:,connect,4,187.15.131.59,WallaceMenezesBR
2012-05-10T16:35:11.848800+00:00,sim128[28088]:,disconnect,6,82.158.116.97,Client#4
2012-05-10T17:20:38.408566+00:00,sim128[28088]:,disconnect,4,187.15.131.59,WallaceMenezesBR
2012-05-10T17:28:01.850760+00:00,sim128[28088]:,connect,4,187.15.131.59,WallaceMenezesBR
2012-05-10T20:19:08.254584+00:00,sim128[28088]:,connect,6,82.158.116.97,Client#4
2012-05-10T21:05:27.987400+00:00,sim128[28088]:,disconnect,4,187.15.131.59,WallaceMenezesBR
2012-05-10T21:05:27.987438+00:00,sim128[28088]:,disconnect,6,82.158.116.97,Client#4
2012-05-10T22:10:55.628124+00:00,sim128[28088]:,connect,4,187.15.131.59,WallaceMenezesBR
