2012-05-27T00:28:28.831466+00:00,sim128[24094]:,disconnect,4,187.156.87.99,JAOO450
2012-05-27T12:47:25.369680+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-27T12:51:54.668662+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T15:26:12.878899+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#4
2012-05-27T15:43:47.964008+00:00,sim128[24094]:,connect,7,220.245.52.25,Client#4
2012-05-27T15:56:00.689415+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T15:56:00.689565+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-27T15:56:00.689813+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#4
2012-05-27T15:56:00.690051+00:00,sim128[24094]:,disconnect,7,220.245.52.25,Client#4
2012-05-27T15:56:16.849596+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T16:15:28.520737+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-27T16:18:16.877816+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#4
2012-05-27T16:20:39.396197+00:00,sim128[24094]:,connect,7,220.245.52.25,Client#4
2012-05-27T16:21:15.285536+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T16:21:15.285589+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-27T16:21:15.285614+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#4
2012-05-27T16:21:15.285635+00:00,sim128[24094]:,disconnect,7,220.245.52.25,Client#4
2012-05-27T16:21:29.066832+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T16:22:02.971405+00:00,sim128[24094]:,connect,5,0.0.0.0,err404
2012-05-27T16:23:33.339492+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T16:23:51.161522+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T16:25:40.649585+00:00,sim128[24094]:,disconnect,5,0.0.0.0,err404
2012-05-27T16:32:08.499926+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-27T16:37:51.737567+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T16:37:51.737808+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-27T16:38:00.506909+00:00,sim128[24094]:,connect,6,220.245.52.25,Client#4
2012-05-27T16:38:51.216661+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T16:44:08.423881+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T16:44:08.424016+00:00,sim128[24094]:,disconnect,6,220.245.52.25,Client#4
2012-05-27T16:44:17.035990+00:00,sim128[24094]:,connect,5,220.245.52.25,Client#4
2012-05-27T16:45:26.540933+00:00,sim128[24094]:,connect,4,220.245.52.25,Client#4
2012-05-27T16:58:58.205844+00:00,sim128[24094]:,connect,6,79.249.115.163,Client#5
2012-05-27T17:31:16.894819+00:00,sim128[24094]:,connect,7,109.213.156.125,PITEX
2012-05-27T17:49:14.995693+00:00,sim128[24094]:,disconnect,4,220.245.52.25,Client#4
2012-05-27T17:49:14.995742+00:00,sim128[24094]:,disconnect,5,220.245.52.25,Client#4
2012-05-27T17:49:14.995768+00:00,sim128[24094]:,disconnect,6,79.249.115.163,Client#5
2012-05-27T17:49:14.995790+00:00,sim128[24094]:,disconnect,7,109.213.156.125,PITEX
2012-05-27T17:49:22.607511+00:00,sim128[24094]:,connect,8,177.98.106.179,Client#4
2012-05-27T17:59:43.688551+00:00,sim128[24094]:,connect,4,176.58.187.187,Client#4
2012-05-27T18:16:39.001077+00:00,sim128[24094]:,connect,5,77.215.71.67,dylf
2012-05-27T18:16:39.057008+00:00,sim128[24094]:,disconnect,8,177.98.106.179,Client#4
2012-05-27T18:16:45.347500+00:00,sim128[24094]:,connect,6,109.213.156.125,PITEX
2012-05-27T18:17:48.078107+00:00,sim128[24094]:,disconnect,5,77.215.71.67,dylf
2012-05-27T18:19:11.918267+00:00,sim128[24094]:,disconnect,6,109.213.156.125,PITEX
2012-05-27T18:24:38.155323+00:00,sim128[24094]:,disconnect,4,176.58.187.187,Client#4
2012-05-27T19:49:37.730278+00:00,sim128[24094]:,connect,4,82.158.116.97,Client#4
2012-05-27T20:49:51.777121+00:00,sim128[24094]:,connect,5,85.216.238.158,Client#11
2012-05-27T21:19:08.804947+00:00,sim128[24094]:,connect,6,177.100.111.22,Client#6
2012-05-27T21:19:08.899024+00:00,sim128[24094]:,disconnect,4,82.158.116.97,Client#4
2012-05-27T21:19:57.696105+00:00,sim128[24094]:,disconnect,6,177.100.111.22,Client#6
2012-05-27T21:43:06.783864+00:00,sim128[24094]:,connect,4,79.249.115.163,Client#5
2012-05-27T22:04:12.952536+00:00,sim128[24094]:,disconnect,5,85.216.238.158,Client#11
2012-05-27T22:04:27.143184+00:00,sim128[24094]:,connect,5,85.216.238.158,Client#11
2012-05-27T22:10:49.351413+00:00,sim128[24094]:,disconnect,5,85.216.238.158,Client#11
2012-05-27T22:14:35.379751+00:00,sim128[24094]:,connect,5,98.251.79.180,Client#8
2012-05-27T22:42:19.164595+00:00,sim128[24094]:,disconnect,4,79.249.115.163,Client#5
2012-05-27T22:42:19.164901+00:00,sim128[24094]:,disconnect,5,98.251.79.180,Client#8
2012-05-27T22:42:27.214291+00:00,sim128[24094]:,connect,6,98.251.79.180,Client#8
