2013-02-13T01:46:14.226280+00:00,sim128b[11801]:,isconnect,2,91.65.124.56,13439
2013-02-13T19:42:24.120901+00:00,sim128b[11801]:,isconnect,3,202.152.194.251,Client#3
2013-02-13T19:50:53.715589+00:00,sim128b[11801]:,isconnect,5,62.238.177.205,Client#5
2013-02-13T19:51:24.239614+00:00,sim128b[11801]:,onnect,2,62.238.177.205,Client#5
2013-02-13T19:56:40.084624+00:00,sim128b[11801]:,isconnect,2,62.238.177.205,Client#5
2013-02-13T19:56:53.149524+00:00,sim128b[11801]:,onnect,2,62.238.177.205,Client#5
2013-02-13T20:03:43.115579+00:00,sim128b[11801]:,onnect,3,85.247.202.6,vitor vairinhos
2013-02-13T20:05:01.161890+00:00,sim128b[11801]:,isconnect,2,62.238.177.205,Client#5
2013-02-13T20:05:17.932123+00:00,sim128b[11801]:,onnect,2,62.238.177.205,Client#5
2013-02-13T20:06:44.617542+00:00,sim128b[11801]:,isconnect,3,85.247.202.6,vitor vairinhos
2013-02-13T20:08:42.061047+00:00,sim128b[11801]:,isconnect,2,62.238.177.205,Client#5
2013-02-13T20:08:54.322455+00:00,sim128b[11801]:,onnect,2,62.238.177.205,Client#5
2013-02-13T20:11:53.012696+00:00,sim128b[11801]:,isconnect,2,62.238.177.205,Client#5
2013-02-13T20:12:04.180275+00:00,sim128b[11801]:,onnect,2,62.238.177.205,Client#5
2013-02-13T20:14:09.106635+00:00,sim128b[11801]:,isconnect,4,88.172.246.8,Client#1
2013-02-13T20:17:08.308255+00:00,sim128b[11801]:,isconnect,2,62.238.177.205,Client#5
2013-02-13T20:17:21.520163+00:00,sim128b[11801]:,onnect,2,62.238.177.205,Client#5
2013-02-13T20:25:21.024728+00:00,sim128b[11801]:,onnect,3,88.172.246.8,Client#1
2013-02-13T20:29:28.952603+00:00,sim128b[11801]:,isconnect,2,62.238.177.205,Client#5
2013-02-13T20:29:43.382735+00:00,sim128b[11801]:,onnect,2,62.238.177.205,Client#5
2013-02-13T20:36:31.907809+00:00,sim128b[11801]:,isconnect,2,62.238.177.205,Client#5
2013-02-13T20:36:55.236223+00:00,sim128b[11801]:,onnect,2,62.238.177.205,Client#5
2013-02-13T20:49:51.163106+00:00,sim128b[11801]:,isconnect,2,62.238.177.205,Client#5
2013-02-13T21:58:26.985041+00:00,sim128b[11801]:,onnect,2,98.141.195.201,Fifty
2013-02-13T22:04:31.392889+00:00,sim128b[11801]:,onnect,4,88.172.246.8,Client#1
2013-02-13T22:04:31.568695+00:00,sim128b[11801]:,isconnect,3,88.172.246.8,Client#1
2013-02-13T22:07:59.334346+00:00,sim128b[11801]:,onnect,3,88.172.246.8,Client#3
2013-02-13T22:14:12.740234+00:00,sim128b[11801]:,isconnect,2,98.141.195.201,Fifty
2013-02-13T22:14:40.995247+00:00,sim128b[11801]:,onnect,2,98.141.195.201,Fifty
2013-02-13T22:14:45.162307+00:00,sim128b[11801]:,isconnect,3,88.172.246.8,Client#3
2013-02-13T22:18:03.799341+00:00,sim128b[11801]:,onnect,3,88.172.246.8,Client#3
2013-02-13T22:25:31.450028+00:00,sim128b[11801]:,isconnect,3,88.172.246.8,Client#3
2013-02-13T22:25:31.450163+00:00,sim128b[11801]:,isconnect,4,88.172.246.8,Client#1
2013-02-13T22:25:55.083840+00:00,sim128b[11801]:,onnect,3,88.172.246.8,FT
2013-02-13T22:26:48.689317+00:00,sim128b[11801]:,isconnect,3,88.172.246.8,FT
2013-02-13T22:27:22.030130+00:00,sim128b[11801]:,onnect,3,88.172.246.8,Client#3
2013-02-13T22:27:39.436883+00:00,sim128b[11801]:,isconnect,3,88.172.246.8,Client#3
2013-02-13T22:43:31.313791+00:00,sim128b[11801]:,onnect,3,71.200.128.99,Benjad
2013-02-13T22:43:53.875102+00:00,sim128b[11801]:,hat,3,71.200.128.99,Benjad,15,,Holy cow.. game has been moving!
2013-02-13T22:44:12.007837+00:00,sim128b[11801]:,onnect,4,88.172.246.8,Client#3
2013-02-13T22:44:12.097085+00:00,sim128b[11801]:,isconnect,2,98.141.195.201,Fifty
2013-02-13T22:46:50.611162+00:00,sim128b[11801]:,hat,3,71.200.128.99,Benjad,4,Planet Express,Welcome French Transport
2013-02-13T23:05:40.413967+00:00,sim128b[11801]:,isconnect,3,71.200.128.99,Benjad
2013-02-13T23:16:21.939638+00:00,sim128b[11801]:,onnect,2,98.141.195.201,Fifty
