2012-07-18T02:41:37.788389+00:00,sim64a[1453]:,disconnect,3,98.141.195.146,Fifty
2012-07-18T15:02:04.452588+00:00,sim64a[1453]:,connect,3,60.246.191.169,penhong
2012-07-18T15:04:43.537636+00:00,sim64a[1453]:,connect,4,60.246.191.169,penhong
2012-07-18T15:16:18.558206+00:00,sim64a[1453]:,connect,5,60.246.191.169,penhong
2012-07-18T15:16:57.090548+00:00,sim64a[1453]:,connect,6,87.12.59.180,gimi
2012-07-18T15:16:57.224201+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-18T15:16:57.224418+00:00,sim64a[1453]:,disconnect,3,60.246.191.169,penhong
2012-07-18T15:16:57.224668+00:00,sim64a[1453]:,disconnect,4,60.246.191.169,penhong
2012-07-18T15:25:43.304966+00:00,sim64a[1453]:,disconnect,5,60.246.191.169,penhong
2012-07-18T15:26:39.019491+00:00,sim64a[1453]:,connect,2,60.246.191.169,penhong
2012-07-18T15:31:45.871316+00:00,sim64a[1453]:,disconnect,6,87.12.59.180,gimi
2012-07-18T15:32:03.222504+00:00,sim64a[1453]:,connect,3,87.12.59.180,gimi
2012-07-18T15:33:53.076056+00:00,sim64a[1453]:,disconnect,2,60.246.191.169,penhong
2012-07-18T15:52:14.037496+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,gimi
2012-07-18T15:52:30.406083+00:00,sim64a[1453]:,connect,2,87.12.59.180,gimi
2012-07-18T16:09:39.903797+00:00,sim64a[1453]:,connect,3,87.12.59.180,Client#3
2012-07-18T16:17:17.353221+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,gimi
2012-07-18T16:21:41.784684+00:00,sim64a[1453]:,connect,2,193.85.114.10,Client#2
2012-07-18T16:24:39.480388+00:00,sim64a[1453]:,disconnect,2,193.85.114.10,Client#2
2012-07-18T16:59:29.020728+00:00,sim64a[1453]:,connect,2,87.12.59.180,Client#3
2012-07-18T17:06:18.224029+00:00,sim64a[1453]:,connect,4,217.194.162.112,JohnBlack
2012-07-18T17:06:18.309972+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,Client#3
2012-07-18T17:07:16.199676+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,Client#3
2012-07-18T19:48:51.221959+00:00,sim64a[1453]:,connect,2,217.194.162.112,JohnBlack
2012-07-18T20:07:55.721931+00:00,sim64a[1453]:,connect,3,91.18.12.236,Tobi
2012-07-18T20:17:36.767867+00:00,sim64a[1453]:,connect,5,217.194.162.112,JohnBlack
2012-07-18T20:21:31.401076+00:00,sim64a[1453]:,connect,6,84.13.161.7,Client#6
2012-07-18T20:21:31.488993+00:00,sim64a[1453]:,disconnect,2,217.194.162.112,JohnBlack
2012-07-18T20:21:31.489263+00:00,sim64a[1453]:,disconnect,3,91.18.12.236,Tobi
2012-07-18T20:21:31.489515+00:00,sim64a[1453]:,disconnect,4,217.194.162.112,JohnBlack
2012-07-18T20:21:41.217547+00:00,sim64a[1453]:,disconnect,6,84.13.161.7,Client#6
2012-07-18T20:24:10.624623+00:00,sim64a[1453]:,connect,2,84.13.161.7,Client#2
2012-07-18T20:24:11.478067+00:00,sim64a[1453]:,disconnect,5,217.194.162.112,JohnBlack
2012-07-18T20:24:35.403071+00:00,sim64a[1453]:,connect,3,217.194.162.112,JohnBlack
2012-07-18T20:30:08.177550+00:00,sim64a[1453]:,disconnect,2,84.13.161.7,Client#2
2012-07-18T20:53:38.001737+00:00,sim64a[1453]:,disconnect,3,217.194.162.112,JohnBlack
2012-07-18T20:53:48.350863+00:00,sim64a[1453]:,connect,2,217.194.162.112,JohnBlack
2012-07-18T20:59:20.696748+00:00,sim64a[1453]:,disconnect,2,217.194.162.112,JohnBlack
2012-07-18T20:59:36.055028+00:00,sim64a[1453]:,connect,3,151.55.8.31,Client#3
2012-07-18T21:05:16.648710+00:00,sim64a[1453]:,connect,2,217.194.162.112,JohnBlack
2012-07-18T21:06:53.704886+00:00,sim64a[1453]:,disconnect,2,217.194.162.112,JohnBlack
2012-07-18T21:06:53.705213+00:00,sim64a[1453]:,disconnect,3,151.55.8.31,Client#3
2012-07-18T21:22:53.094109+00:00,sim64a[1453]:,connect,2,67.6.123.19,Simbot34
2012-07-18T21:31:30.099472+00:00,sim64a[1453]:,chat,2,67.6.123.19,Simbot34,9,sim co,uh
2012-07-18T21:32:28.412719+00:00,sim64a[1453]:,chat,2,67.6.123.19,Simbot34,9,sim co,moooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
2012-07-18T21:34:42.344035+00:00,sim64a[1453]:,chat,2,67.6.123.19,Simbot34,9,sim co,oo
2012-07-18T21:38:23.389994+00:00,sim64a[1453]:,disconnect,2,67.6.123.19,Simbot34
2012-07-18T21:38:35.143228+00:00,sim64a[1453]:,connect,3,67.6.123.19,Simbot34
