2012-07-20T00:01:46.658246+00:00,sim64a[1453]:,disconnect,2,122.151.149.101,Raymond
2012-07-20T08:44:02.986191+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-20T08:44:18.678685+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-20T08:44:30.092383+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,Client#3
2012-07-20T09:05:46.253047+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-20T10:24:05.241017+00:00,sim64a[1453]:,connect,2,87.12.59.180,Client#3
2012-07-20T10:39:09.213757+00:00,sim64a[1453]:,disconnect,2,87.12.59.180,Client#3
2012-07-20T10:54:55.099517+00:00,sim64a[1453]:,connect,2,78.128.195.151,JohnBlack
2012-07-20T13:47:18.420342+00:00,sim64a[1453]:,connect,3,60.246.179.71,penhong
2012-07-20T13:50:36.995954+00:00,sim64a[1453]:,connect,4,60.246.179.71,penhong
2012-07-20T13:52:13.594710+00:00,sim64a[1453]:,chat,4,60.246.179.71,penhong,12,pocket transport(SE),==
2012-07-20T13:53:33.476452+00:00,sim64a[1453]:,chat,4,60.246.179.71,penhong,12,pocket transport(SE),"simbot. there already have 2 public pax airport(in Ashfield and Oakstead), if you need, you can connect them."
2012-07-20T13:58:11.880039+00:00,sim64a[1453]:,chat,4,60.246.179.71,penhong,12,pocket transport(SE),but I suggest you use bus or ship or train to passenger transport. because neck bottle in airport is a big problem..
2012-07-20T14:00:44.732859+00:00,sim64a[1453]:,disconnect,2,78.128.195.151,JohnBlack
2012-07-20T14:00:44.732915+00:00,sim64a[1453]:,disconnect,3,60.246.179.71,penhong
2012-07-20T14:00:44.732941+00:00,sim64a[1453]:,disconnect,4,60.246.179.71,penhong
2012-07-20T14:01:26.801199+00:00,sim64a[1453]:,connect,2,60.246.179.71,penhong
2012-07-20T14:07:42.307754+00:00,sim64a[1453]:,disconnect,2,60.246.179.71,penhong
2012-07-20T14:08:21.367564+00:00,sim64a[1453]:,connect,3,60.246.179.71,penhong
2012-07-20T14:11:51.448682+00:00,sim64a[1453]:,disconnect,3,60.246.179.71,penhong
2012-07-20T14:12:33.443493+00:00,sim64a[1453]:,connect,2,60.246.179.71,penhong
2012-07-20T14:28:13.438759+00:00,sim64a[1453]:,connect,3,60.246.179.71,penhong
2012-07-20T14:28:55.132615+00:00,sim64a[1453]:,disconnect,2,60.246.179.71,penhong
2012-07-20T14:28:55.132882+00:00,sim64a[1453]:,disconnect,3,60.246.179.71,penhong
2012-07-20T14:30:15.450098+00:00,sim64a[1453]:,connect,2,60.246.179.71,penhong
2012-07-20T14:34:55.316984+00:00,sim64a[1453]:,connect,3,60.246.179.71,Client#3
2012-07-20T14:39:50.134847+00:00,sim64a[1453]:,disconnect,3,60.246.179.71,Client#3
2012-07-20T14:53:50.877144+00:00,sim64a[1453]:,disconnect,2,60.246.179.71,penhong
2012-07-20T14:54:29.622851+00:00,sim64a[1453]:,connect,3,60.246.179.71,penhong
2012-07-20T14:57:31.559885+00:00,sim64a[1453]:,disconnect,3,60.246.179.71,penhong
2012-07-20T14:58:14.272917+00:00,sim64a[1453]:,connect,2,60.246.179.71,penhong
2012-07-20T15:01:42.929028+00:00,sim64a[1453]:,disconnect,2,60.246.179.71,penhong
2012-07-20T15:02:43.073245+00:00,sim64a[1453]:,connect,2,60.246.179.71,penhong
2012-07-20T15:21:04.803435+00:00,sim64a[1453]:,connect,3,87.12.59.180,Client#3
2012-07-20T15:25:56.658974+00:00,sim64a[1453]:,disconnect,3,87.12.59.180,Client#3
2012-07-20T15:34:59.409005+00:00,sim64a[1453]:,connect,3,60.246.179.71,penhong
2012-07-20T15:47:02.392461+00:00,sim64a[1453]:,connect,4,60.246.179.71,penhong
2012-07-20T15:50:58.365635+00:00,sim64a[1453]:,connect,5,60.246.179.71,penhong
2012-07-20T15:52:38.063338+00:00,sim64a[1453]:,chat,5,60.246.179.71,penhong,12,pocket transport(SE),"anyway, have fun :)"
2012-07-20T16:02:41.464349+00:00,sim64a[1453]:,connect,6,60.246.179.71,Client#6
2012-07-20T16:02:41.564540+00:00,sim64a[1453]:,disconnect,2,60.246.179.71,penhong
2012-07-20T16:02:41.564582+00:00,sim64a[1453]:,disconnect,3,60.246.179.71,penhong
2012-07-20T16:02:41.564607+00:00,sim64a[1453]:,disconnect,4,60.246.179.71,penhong
2012-07-20T16:18:56.442189+00:00,sim64a[1453]:,disconnect,5,60.246.179.71,penhong
2012-07-20T16:20:34.276031+00:00,sim64a[1453]:,connect,2,60.246.179.71,Client#6
2012-07-20T16:26:31.549346+00:00,sim64a[1453]:,connect,3,60.246.179.71,penhong
2012-07-20T16:29:46.553067+00:00,sim64a[1453]:,connect,4,60.246.179.71,penhong
2012-07-20T16:37:06.756029+00:00,sim64a[1453]:,connect,5,60.246.179.71,penhong
2012-07-20T16:40:25.993039+00:00,sim64a[1453]:,connect,7,60.246.179.71,penhong
2012-07-20T18:58:48.787738+00:00,sim64a[1453]:,disconnect,2,60.246.179.71,Client#6
2012-07-20T18:58:48.787769+00:00,sim64a[1453]:,disconnect,3,60.246.179.71,penhong
2012-07-20T18:58:48.787958+00:00,sim64a[1453]:,disconnect,4,60.246.179.71,penhong
2012-07-20T18:58:48.787979+00:00,sim64a[1453]:,disconnect,5,60.246.179.71,penhong
2012-07-20T18:58:48.788238+00:00,sim64a[1453]:,disconnect,6,60.246.179.71,Client#6
2012-07-20T18:58:48.788286+00:00,sim64a[1453]:,disconnect,7,60.246.179.71,penhong
2012-07-20T18:58:58.815535+00:00,sim64a[1453]:,connect,8,93.133.155.245,Client#8
2012-07-20T21:06:48.912802+00:00,sim64a[1453]:,disconnect,8,93.133.155.245,Client#8
2012-07-20T23:51:07.574867+00:00,sim64a[1453]:,connect,2,201.11.50.180,Client#3
2012-07-20T23:55:21.792943+00:00,sim64a[1453]:,disconnect,2,201.11.50.180,Client#3
