2012-05-27T00:01:30.468217+00:00,sim64b[22453]:,disconnect,2,98.119.121.135,Hi-Desert transport
2012-05-27T12:05:29.743807+00:00,sim64b[22453]:,connect,3,89.103.64.131,Client#6
2012-05-27T12:13:17.876848+00:00,sim64b[22453]:,disconnect,2,88.165.36.112,wouar
2012-05-27T12:26:06.771470+00:00,sim64b[22453]:,connect,2,89.103.64.131,Client#6
2012-05-27T12:32:20.662921+00:00,sim64b[22453]:,disconnect,2,89.103.64.131,Client#6
2012-05-27T12:32:20.663004+00:00,sim64b[22453]:,disconnect,3,89.103.64.131,Client#6
2012-05-27T12:32:28.392226+00:00,sim64b[22453]:,connect,5,89.103.64.131,Client#6
2012-05-27T12:48:19.812412+00:00,sim64b[22453]:,connect,2,89.103.64.131,Client#6
2012-05-27T12:57:42.308595+00:00,sim64b[22453]:,connect,3,187.95.98.40,Bruno
2012-05-27T12:57:42.373682+00:00,sim64b[22453]:,disconnect,5,89.103.64.131,Client#6
2012-05-27T12:59:59.803415+00:00,sim64b[22453]:,disconnect,3,187.95.98.40,Bruno
2012-05-27T13:00:41.422056+00:00,sim64b[22453]:,connect,3,187.95.98.40,Bruno
2012-05-27T13:02:13.115025+00:00,sim64b[22453]:,disconnect,2,89.103.64.131,Client#6
2012-05-27T13:03:35.835290+00:00,sim64b[22453]:,disconnect,3,187.95.98.40,Bruno
2012-05-27T13:04:11.503936+00:00,sim64b[22453]:,connect,2,187.95.98.40,Bruno
2012-05-27T13:09:59.316953+00:00,sim64b[22453]:,disconnect,2,187.95.98.40,Bruno
2012-05-27T13:10:36.074743+00:00,sim64b[22453]:,connect,2,187.95.98.40,Bruno
2012-05-27T13:18:15.565976+00:00,sim64b[22453]:,disconnect,2,187.95.98.40,Bruno
2012-05-27T13:19:42.612872+00:00,sim64b[22453]:,connect,2,187.95.98.40,Bruno
2012-05-27T13:25:42.425726+00:00,sim64b[22453]:,disconnect,2,187.95.98.40,Bruno
2012-05-27T13:26:21.893179+00:00,sim64b[22453]:,connect,2,187.95.98.40,Bruno
2012-05-27T14:05:08.406625+00:00,sim64b[22453]:,connect,3,219.77.115.190,Client#2
2012-05-27T14:06:43.738295+00:00,sim64b[22453]:,connect,5,60.246.145.240,Client#4
2012-05-27T14:06:44.632950+00:00,sim64b[22453]:,disconnect,3,219.77.115.190,Client#2
2012-05-27T14:07:15.035391+00:00,sim64b[22453]:,connect,3,219.77.115.190,Client#2
2012-05-27T14:09:53.046741+00:00,sim64b[22453]:,disconnect,3,219.77.115.190,Client#2
2012-05-27T14:12:37.368152+00:00,sim64b[22453]:,disconnect,5,60.246.145.240,Client#4
2012-05-27T14:14:50.711828+00:00,sim64b[22453]:,connect,3,60.246.145.240,Client#4
2012-05-27T14:17:25.714237+00:00,sim64b[22453]:,connect,5,88.227.194.217,CANERK
2012-05-27T14:17:33.322079+00:00,sim64b[22453]:,disconnect,5,88.227.194.217,CANERK
2012-05-27T14:20:18.287817+00:00,sim64b[22453]:,disconnect,3,60.246.145.240,Client#4
2012-05-27T14:43:54.074489+00:00,sim64b[22453]:,connect,3,187.95.98.40,Bruno
2012-05-27T15:18:26.498979+00:00,sim64b[22453]:,connect,5,187.95.98.40,Bruno
2012-05-27T15:24:07.868780+00:00,sim64b[22453]:,connect,6,219.77.115.190,Client#2
2012-05-27T15:24:08.001953+00:00,sim64b[22453]:,disconnect,2,187.95.98.40,Bruno
2012-05-27T15:24:08.002070+00:00,sim64b[22453]:,disconnect,3,187.95.98.40,Bruno
2012-05-27T15:25:38.400209+00:00,sim64b[22453]:,disconnect,6,219.77.115.190,Client#2
2012-05-27T15:46:28.247640+00:00,sim64b[22453]:,connect,2,219.77.115.190,Client#2
2012-05-27T15:47:35.537906+00:00,sim64b[22453]:,disconnect,2,219.77.115.190,Client#2
2012-05-27T15:51:32.020234+00:00,sim64b[22453]:,disconnect,5,187.95.98.40,Bruno
2012-05-27T16:02:45.377118+00:00,sim64b[22453]:,connect,2,79.249.115.163,Client#5
2012-05-27T16:13:25.605887+00:00,sim64b[22453]:,connect,3,88.165.36.112,wouar
2012-05-27T16:56:40.697015+00:00,sim64b[22453]:,connect,5,189.77.107.198,pericles
2012-05-27T16:59:30.324139+00:00,sim64b[22453]:,connect,6,98.141.195.130,Client#2
2012-05-27T16:59:30.389756+00:00,sim64b[22453]:,disconnect,2,79.249.115.163,Client#5
2012-05-27T16:59:30.389807+00:00,sim64b[22453]:,disconnect,5,189.77.107.198,pericles
2012-05-27T16:59:31.177602+00:00,sim64b[22453]:,disconnect,3,88.165.36.112,wouar
2012-05-27T16:59:48.090009+00:00,sim64b[22453]:,connect,2,88.165.36.112,wouar
2012-05-27T17:07:44.424267+00:00,sim64b[22453]:,disconnect,6,98.141.195.130,Client#2
2012-05-27T17:17:56.742170+00:00,sim64b[22453]:,disconnect,2,88.165.36.112,wouar
2012-05-27T18:00:22.717306+00:00,sim64b[22453]:,connect,2,88.165.36.112,wouar
2012-05-27T18:03:39.809046+00:00,sim64b[22453]:,disconnect,2,88.165.36.112,wouar
2012-05-27T18:03:54.970590+00:00,sim64b[22453]:,connect,2,88.165.36.112,wouar
2012-05-27T19:27:25.078483+00:00,sim64b[22453]:,connect,3,88.165.36.112,wouar
2012-05-27T19:42:59.048087+00:00,sim64b[22453]:,connect,5,89.103.64.131,Client#6
2012-05-27T19:42:59.120932+00:00,sim64b[22453]:,disconnect,2,88.165.36.112,wouar
2012-05-27T19:57:31.261681+00:00,sim64b[22453]:,disconnect,5,89.103.64.131,Client#6
2012-05-27T19:58:01.781459+00:00,sim64b[22453]:,connect,2,89.103.64.131,Client#6
2012-05-27T20:08:08.713488+00:00,sim64b[22453]:,disconnect,2,89.103.64.131,Client#6
2012-05-27T20:08:35.467627+00:00,sim64b[22453]:,connect,2,89.103.64.131,Client#6
2012-05-27T20:28:49.958604+00:00,sim64b[22453]:,disconnect,2,89.103.64.131,Client#6
2012-05-27T20:29:14.665926+00:00,sim64b[22453]:,connect,2,89.103.64.131,Client#6
2012-05-27T20:44:32.795750+00:00,sim64b[22453]:,disconnect,3,88.165.36.112,wouar
2012-05-27T20:44:45.525204+00:00,sim64b[22453]:,connect,3,88.165.36.112,wouar
2012-05-27T20:45:43.019013+00:00,sim64b[22453]:,disconnect,2,89.103.64.131,Client#6
2012-05-27T20:46:11.828739+00:00,sim64b[22453]:,connect,2,89.103.64.131,Client#6
2012-05-27T20:54:13.973540+00:00,sim64b[22453]:,connect,5,79.249.115.163,Client#5
2012-05-27T20:59:42.546342+00:00,sim64b[22453]:,disconnect,2,89.103.64.131,Client#6
2012-05-27T21:37:36.787678+00:00,sim64b[22453]:,disconnect,3,88.165.36.112,wouar
2012-05-27T21:37:49.413138+00:00,sim64b[22453]:,connect,2,88.165.36.112,wouar
2012-05-27T21:42:42.910160+00:00,sim64b[22453]:,disconnect,5,79.249.115.163,Client#5
2012-05-27T22:28:53.549841+00:00,sim64b[22453]:,connect,3,93.195.27.78,Client#3
2012-05-27T23:15:46.762044+00:00,sim64b[22453]:,disconnect,2,88.165.36.112,wouar
2012-05-27T23:30:53.868548+00:00,sim64b[22453]:,connect,2,88.165.36.112,wouar
2012-05-27T23:36:18.641575+00:00,sim64b[22453]:,disconnect,3,93.195.27.78,Client#3
2012-05-27T23:36:38.583074+00:00,sim64b[22453]:,connect,3,93.195.27.78,Client
2012-05-27T23:48:23.955439+00:00,sim64b[22453]:,disconnect,3,93.195.27.78,Client
