2012-06-26T00:06:52.077147+00:00,sim64b[22134]:,disconnect,3,187.105.86.100,Carlos
2012-06-26T11:37:48.324867+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T11:45:09.520481+00:00,sim64b[22134]:,connect,2,80.132.152.152,Client#3
2012-06-26T12:06:29.902612+00:00,sim64b[22134]:,disconnect,2,80.132.152.152,Client#3
2012-06-26T12:06:29.902861+00:00,sim64b[22134]:,disconnect,3,80.132.152.152,Client#3
2012-06-26T12:06:58.211028+00:00,sim64b[22134]:,connect,2,80.132.152.152,Client#3
2012-06-26T12:44:11.305307+00:00,sim64b[22134]:,chat,2,80.132.152.152,Client#3,7,The Waste Co.,"@Playtosor: Modified the power lines @350,510. Should be easier now to place the loading bays."
2012-06-26T12:54:07.296786+00:00,sim64b[22134]:,connect,3,92.227.155.242,Client#2
2012-06-26T13:06:14.003555+00:00,sim64b[22134]:,disconnect,2,80.132.152.152,Client#3
2012-06-26T13:06:44.000017+00:00,sim64b[22134]:,connect,2,80.132.152.152,Client#3
2012-06-26T13:19:21.704496+00:00,sim64b[22134]:,disconnect,2,80.132.152.152,Client#3
2012-06-26T13:20:46.620126+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T13:55:45.956576+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T13:55:45.956889+00:00,sim64b[22134]:,disconnect,3,92.227.155.242,Client#2
2012-06-26T15:54:09.737615+00:00,sim64b[22134]:,connect,2,80.132.152.152,Client#3
2012-06-26T16:15:10.787284+00:00,sim64b[22134]:,connect,3,92.227.155.242,Client#2
2012-06-26T16:41:16.491585+00:00,sim64b[22134]:,disconnect,2,80.132.152.152,Client#3
2012-06-26T16:41:53.312587+00:00,sim64b[22134]:,connect,2,80.132.152.152,Client#3
2012-06-26T16:41:58.770698+00:00,sim64b[22134]:,disconnect,3,92.227.155.242,Client#2
2012-06-26T16:44:36.347428+00:00,sim64b[22134]:,connect,3,88.165.36.112,Client#7
2012-06-26T16:58:40.371969+00:00,sim64b[22134]:,disconnect,3,88.165.36.112,Client#7
2012-06-26T16:59:07.940878+00:00,sim64b[22134]:,connect,3,88.165.36.112,Client#7
2012-06-26T17:34:02.332050+00:00,sim64b[22134]:,disconnect,3,88.165.36.112,Client#7
2012-06-26T17:34:30.783770+00:00,sim64b[22134]:,connect,3,88.165.36.112,Client#7
2012-06-26T17:41:39.562572+00:00,sim64b[22134]:,disconnect,2,80.132.152.152,Client#3
2012-06-26T17:42:07.316308+00:00,sim64b[22134]:,connect,2,80.132.152.152,Client#3
2012-06-26T17:59:42.058037+00:00,sim64b[22134]:,disconnect,3,88.165.36.112,Client#7
2012-06-26T18:00:12.765371+00:00,sim64b[22134]:,connect,3,88.165.36.112,Client#7
2012-06-26T18:03:55.916294+00:00,sim64b[22134]:,disconnect,3,88.165.36.112,Client#7
2012-06-26T18:10:05.248802+00:00,sim64b[22134]:,disconnect,2,80.132.152.152,Client#3
2012-06-26T18:10:26.674490+00:00,sim64b[22134]:,connect,3,80.132.152.152,Client#3
2012-06-26T18:29:14.994252+00:00,sim64b[22134]:,connect,2,93.216.21.2,sid2000
2012-06-26T18:30:53.155297+00:00,sim64b[22134]:,disconnect,2,93.216.21.2,sid2000
2012-06-26T18:46:21.273593+00:00,sim64b[22134]:,connect,2,92.227.155.242,Client#2
2012-06-26T18:55:49.256054+00:00,sim64b[22134]:,connect,4,88.165.36.112,Client#7
2012-06-26T18:57:09.395341+00:00,sim64b[22134]:,disconnect,3,80.132.152.152,Client#3
2012-06-26T19:01:50.183130+00:00,sim64b[22134]:,connect,3,98.141.195.146,Fifty
2012-06-26T19:07:40.725825+00:00,sim64b[22134]:,disconnect,2,92.227.155.242,Client#2
2012-06-26T19:11:53.549420+00:00,sim64b[22134]:,disconnect,4,88.165.36.112,Client#7
2012-06-26T19:12:36.415830+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T19:14:13.850203+00:00,sim64b[22134]:,connect,4,173.55.26.75,Hi-Desert transport
2012-06-26T19:21:45.081059+00:00,sim64b[22134]:,disconnect,4,173.55.26.75,Hi-Desert transport
2012-06-26T19:23:00.234973+00:00,sim64b[22134]:,connect,4,173.55.26.75,Hi-Desert transport
2012-06-26T19:26:44.193313+00:00,sim64b[22134]:,disconnect,4,173.55.26.75,Hi-Desert transport
2012-06-26T19:27:52.190752+00:00,sim64b[22134]:,connect,4,173.55.26.75,Hi-Desert transport
2012-06-26T19:30:56.457085+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T19:34:45.767127+00:00,sim64b[22134]:,chat,4,173.55.26.75,Hi-Desert transport,11,Hi-Desert Transport,Hello
2012-06-26T19:40:53.342288+00:00,sim64b[22134]:,disconnect,3,98.141.195.146,Fifty
2012-06-26T20:38:10.377380+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
2012-06-26T21:10:38.312920+00:00,sim64b[22134]:,connect,3,201.83.91.150,edson
2012-06-26T21:10:38.569064+00:00,sim64b[22134]:,disconnect,4,173.55.26.75,Hi-Desert transport
2012-06-26T21:13:29.022364+00:00,sim64b[22134]:,disconnect,3,201.83.91.150,edson
2012-06-26T22:16:15.077959+00:00,sim64b[22134]:,connect,3,92.227.124.1,Client#2
2012-06-26T22:19:54.790029+00:00,sim64b[22134]:,connect,4,88.165.36.112,Client#7
2012-06-26T22:19:55.035308+00:00,sim64b[22134]:,disconnect,2,88.165.36.112,Client#7
2012-06-26T22:23:24.068505+00:00,sim64b[22134]:,connect,2,80.132.152.152,Client#3
2012-06-26T22:26:12.259883+00:00,sim64b[22134]:,disconnect,3,92.227.124.1,Client#2
2012-06-26T22:45:07.937104+00:00,sim64b[22134]:,disconnect,4,88.165.36.112,Client#7
2012-06-26T22:45:33.733654+00:00,sim64b[22134]:,connect,3,88.165.36.112,Client#7
2012-06-26T22:49:45.763294+00:00,sim64b[22134]:,disconnect,2,80.132.152.152,Client#3
2012-06-26T23:28:25.474907+00:00,sim64b[22134]:,connect,2,88.165.36.112,Client#7
